method,bin_center,confidence,accuracy,count
uncalibrated,0.05,0.032245154795683406,0.08333333333333333,12
uncalibrated,0.15000000000000002,0.13636701015418645,0.0,2
uncalibrated,0.25,0.25654197923488176,0.25,4
uncalibrated,0.35000000000000003,0.3700045897013486,0.0,2
uncalibrated,0.45,0.4873556562736854,0.0,1
uncalibrated,0.55,0.5385462256609662,0.0,5
uncalibrated,0.6500000000000001,0.6301007908756364,0.42857142857142855,7
uncalibrated,0.75,0.7782047536965742,0.42857142857142855,7
uncalibrated,0.8500000000000001,0.856677685508128,0.6,15
uncalibrated,0.95,0.9926167198093383,0.919047619047619,210
temperature,0.05,0.0836595869993082,0.0,3
temperature,0.15000000000000002,0.146038550939889,0.0,2
temperature,0.25,0.271463398421475,0.0,1
temperature,0.35000000000000003,0.34998920277947637,0.14285714285714285,7
temperature,0.45,0.44927674274717155,0.125,8
temperature,0.55,0.5528100010957793,0.36,25
temperature,0.6500000000000001,0.6382274735698026,0.6666666666666666,27
temperature,0.75,0.7532108122441021,0.8387096774193549,31
temperature,0.8500000000000001,0.8523390229223778,0.9655172413793104,58
temperature,0.95,0.945614204186326,0.9611650485436893,103
platt,0.05,0.06814450849868998,0.0,3
platt,0.15000000000000002,0.1239165722476573,0.0,2
platt,0.25,0.2672781125193913,0.0,2
platt,0.35000000000000003,0.3333039765515884,0.14285714285714285,7
platt,0.45,0.4522591935962426,0.08333333333333333,12
platt,0.55,0.5569822631448592,0.5357142857142857,28
platt,0.6500000000000001,0.6428742294633465,0.6363636363636364,22
platt,0.75,0.7559407310985092,0.8709677419354839,31
platt,0.8500000000000001,0.8505909118520554,0.9607843137254902,51
platt,0.95,0.9460360498320415,0.9626168224299065,107
